DATE OCC,Crm Cd Desc,AREA NAME,Status Desc,TIME OCC,quater
10/11/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,100,2020Q4
03/25/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q1
05/19/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q2
06/29/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2230,2020Q2
09/16/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q3
04/02/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2200,2020Q2
02/24/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,200,2020Q1
11/15/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Other,1435,2020Q4
12/26/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1630,2020Q4
06/10/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1900,2020Q2
01/26/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1300,2020Q1
08/31/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1000,2020Q3
07/22/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,200,2020Q3
10/26/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1100,2020Q4
08/12/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1400,2020Q3
02/10/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Arrest,2200,2020Q1
02/13/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1545,2020Q1
11/27/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1300,2020Q4
12/16/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1100,2020Q4
04/27/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1000,2020Q2
07/30/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Arrest,630,2020Q3
06/29/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2300,2020Q2
12/13/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q4
02/22/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1500,2020Q1
07/27/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1830,2020Q3
11/28/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q4
04/06/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q2
10/11/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Adult Arrest,2300,2020Q4
12/10/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q4
04/26/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q2
08/27/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1630,2020Q3
01/09/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2000,2020Q1
12/14/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2100,2020Q4
05/01/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q2
09/01/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q3
06/30/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2230,2020Q2
03/13/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1800,2020Q1
03/26/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1500,2020Q1
10/16/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,700,2020Q4
08/18/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1700,2020Q3
01/23/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2045,2020Q1
08/14/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2100,2020Q3
01/03/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1000,2020Q1
06/29/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,1000,2020Q2
08/31/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2100,2020Q3
05/26/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2030,2020Q2
09/12/2020 12:00:00 AM,VEHICLE - STOLEN,Rampart,Invest Cont,2200,2020Q3
